Prog,Lit,Exact,Time
288,d_14,"[1,0000-1,0000]",2.78
288,a_5,"[1,0000-1,0000]",2.78
288,~a_8,"[0,1245-0,1245]",2.91
289,d_13,"[1,0000-1,0000]",3.42
289,a_7,"[0,9724-1,0000]",3.76
290,d_12,"[1,0000-1,0000]",29.91
290,a_7,"[0,0045-0,0045]",31.24
291,a_4,"[1,0000-1,0000]",7.41
291,~a_9,"[0,1687-0,1687]",7.64
291,a_7,"[0,0326-0,1885]",7.54
292,~a_1,"[1,0000-1,0000]",16.57
292,~a_7,"[0,8490-0,9476]",16.88
293,a_6,"[1,0000-1,0000]",14.43
293,a_7,"[0,7997-0,8320]",14.61
